fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.052,other,33.7,0.06,1.19,0.1,0.24,25,actual,158,actual,0.69,3,1,3,2,2,0,0,114322,1457,93564,2271567,140,3472,2404,120,0.68,264,183,25,0.56,419,2108670,932637,828048,9/18/2021,https://covidactnow.org/us/new_hampshire-nh,0.686,0.609,5,1724464,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.058,other,25,0.27,1.04,0.1,0.12,221,actual,1148,actual,0.47,2,1,2,1,1,0,0,1128696,27165,1114109,15783214,3000,30568,17934,1212,0.69,2936,1369,221,0.176470588,2374,13695285,6360622,5616425,9/18/2021,https://covidactnow.org/us/new_jersey-nj,0.716,0.632,17,11334953,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.074,other,32.9,0.11,0.99,0.1,0.61,132,actual,258,actual,0.82,3,1,3,1,1,2,2,244720,4677,286878,3183302,375,5482,3182,398,0.59,474,390,132,0.59,758,2841125,1501118,1296999,9/18/2021,https://covidactnow.org/us/new_mexico-nm,0.716,0.619,13,2725327,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.119,other,38,0.1,1.07,0.1,0.68,232,actual,511,actual,0.87,3,2,3,2,1,2,3,410104,6845,528320,3545234,600,9585,6809,1016,0.68,853,743,232,0.79,1371,3912720,1838733,1528384,9/18/2021,https://covidactnow.org/us/nevada-nv,0.597,0.496,24,3318560,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.038,other,27.1,0.37,1.04,0.1,0.3,488,actual,2729,actual,0.74,3,1,3,1,1,0,1,2360066,54424,2623677,51992633,9620,62862,35820,2398,0.74,4362,3217,488,0.63,6038,28797845,13566136,12111274,9/18/2021,https://covidactnow.org/us/new_york-ny,0.697,0.623,29,25258954,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.123,other,61.5,0.05,1.13,0.1,0.53,942,actual,2320,actual,0.79,3,2,3,2,2,1,1,1336061,21471,1142974,14002852,1659,48487,25184,4022,0.61,4107,3262,942,0.732111693,8447,14541975,6249380,5776508,9/18/2021,https://covidactnow.org/us/ohio-oh,0.535,0.494,206,11850148,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.18,other,53.3,0.07,0.97,0.1,0.79,391,actual,498,actual,0.9,3,2,3,2,1,3,3,592074,8440,580248,2283340,700,15316,7870,1447,0.55,991,889,391,0.830065359,2124,4916860,2194258,1826304,9/18/2021,https://covidactnow.org/us/oklahoma-ok,0.555,0.462,0,4025023,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.11,other,44.1,0.07,1,0.1,0.58,258,actual,408,actual,0.78,3,2,3,2,1,1,1,309841,3569,278275,4415100,656,9401,5616,1168,0.66,850,666,258,0.755994358,2073,6571075,2774422,2515043,9/18/2021,https://covidactnow.org/us/oregon-or,0.658,0.596,21,5125496,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.088,other,35.6,0.07,1.11,0.1,0.47,593,actual,2415,actual,0.82,3,1,3,2,2,0,2,1370247,28812,1376337,15979030,1508,46557,26218,2749,0.64,3676,3008,593,0.775986526,5198,18733375,9113177,7270956,9/18/2021,https://covidactnow.org/us/pennsylvania-pa,0.712,0.568,44,15870658,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.068,other,11.1,,0.77,0.1,0.23,60,actual,414,actual,0.71,2,1,2,4,0,0,1,211996,3064,110447,1385874,10,8813,5798,334,0.57563908,670,474,60,0.675026596,399,4936090,2493130,2182182,9/18/2021,https://covidactnow.org/us/puerto_rico-pr,0.781,0.683,9,4561783,2
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.025,other,35.1,0.11,1.12,0.1,0.57,24,actual,112,actual,0.88,3,0,3,1,2,1,3,168449,2812,194287,4026542,200,4180,2223,105,0.59,154,136,24,0.7,474,1679515,782161,706659,9/18/2021,https://covidactnow.org/us/rhode_island-ri,0.738,0.667,2,1430832,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.122,other,97.5,0.03,1,0.1,0.74,570,actual,660,actual,0.86,5,2,5,2,1,3,3,819204,11614,841053,7304589,775,15463,10003,2369,0.63,1431,1230,570,0.738750839,4950,6652745,2779931,2349828,9/18/2021,https://covidactnow.org/us/south_carolina-sc,0.54,0.456,82,5083081,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.186,other,51.4,0.15,1.12,0.1,0.41,60,actual,106,actual,0.66,3,2,3,1,2,0,0,139956,2100,86054,660001,350,3379,1808,214,0.47,252,166,60,0.47,544,1148885,513665,447781,9/18/2021,https://covidactnow.org/us/south_dakota-sd,0.581,0.506,4,933253,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.197,other,108.9,0.03,1.06,0.1,0.67,1018,actual,912,actual,0.8,5,2,5,2,1,2,1,1151186,14225,966377,7238349,1226,25754,13691,3639,0.62,2426,1930,1018,0.878072763,6338,8383170,3529580,3002081,9/18/2021,https://covidactnow.org/us/tennessee-tn,0.517,0.44,52,6654437,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.134,other,55.6,0.05,1.02,0.1,0.87,3644,actual,3719,actual,0.93,3,2,3,2,1,3,3,3876393,61931,4106983,29387933,3722,96942,56195,13379,0.62,7891,7363,3644,0.63,18404,40917795,17077248,14435243,9/18/2021,https://covidactnow.org/us/texas-tx,0.589,0.498,358,31539034,3
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.111,other,49.1,0.15,1.12,0.1,0.61,216,actual,259,actual,0.77,3,2,3,1,2,2,1,491073,2787,573823,4341025,1200,7404,4075,576,0.56,614,475,216,0.58,1749,3924720,1856303,1578903,9/18/2021,https://covidactnow.org/us/utah-ut,0.579,0.492,8,3345078,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.101,other,42.5,0.09,1.08,0.1,0.5,460,actual,1023,actual,0.76,3,2,3,2,1,0,1,827197,12242,1077525,8611951,1547,22998,14161,2081,0.65,1943,1483,460,0.527011271,4212,12464015,5722915,5034193,9/18/2021,https://covidactnow.org/us/virginia-va,0.67,0.59,35,10575191,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.042,other,32.5,0.05,1.12,0.11,0.33,12,actual,67,actual,0.77,3,1,3,2,2,0,1,31156,296,43806,2019857,53,1703,926,43,0.69,103,79,12,0.5,234,1024900,480835,429520,9/18/2021,https://covidactnow.org/us/vermont-vt,0.771,0.688,2,887352,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,,other,43.5,0.13,1.03,0.1,0.63,429,actual,599,actual,0.8,3,4,3,1,1,2,1,623143,7256,384824,7160591,2122,17724,10357,1827,0.7,1281,1028,429,0.67,3538,11127085,5345950,4727737,9/18/2021,https://covidactnow.org/us/washington-wa,0.702,0.621,57,9842621,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.087,other,44,0.05,1.14,0.1,0.4,326,actual,664,actual,0.67,3,1,3,2,2,0,0,771489,8703,829269,10141289,600,19111,9579,1149,0.56,1477,990,326,0.58,3554,7234595,3501253,3226176,9/18/2021,https://covidactnow.org/us/wisconsin-wi,0.601,0.554,21,6652898,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.14,other,108.9,0.03,1.12,0.1,0.74,286,actual,299,actual,0.86,5,2,5,2,2,3,3,219439,3370,246605,3068730,248,8395,4910,963,0.58,683,585,286,0.67,2320,2921075,855723,718345,9/18/2021,https://covidactnow.org/us/west_virginia-wv,0.477,0.401,57,1532270,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.111,other,81.8,0.02,1.06,0.1,0.51,51,actual,37,actual,0.64,5,2,5,2,1,1,0,83958,918,66477,895651,50,1883,888,202,0.4,137,88,51,0.467213115,315,636815,274201,234261,9/18/2021,https://covidactnow.org/us/wyoming-wy,0.474,0.405,0,505806,3
